Cutting Speed (m/min),Feed (mm/rec),Depth of cut (mm),RPM,Diameter(mm),RMS
130,0.15,1,700,60,-373.1205
130,0.15,0.8,700,60,-372.8996
130,0.35,0.6,700,60,-371.8263
130,0.45,0.4,700,60,-370.6829
130,0.55,0.2,700,60,-370.66674
110,0.15,0.8,700,50,-369.63059
110,0.15,0.6,700,50,-371.49294
110,0.35,0.4,700,50,-370.25057
110,0.45,0.2,700,50,-370.19835
92,0.15,0.6,700,42,-369.0536
92,0.25,0.4,700,42,-369.10353
92,0.35,0.2,700,42,-369.11699
92,0.55,0.8,700,45,-369.24968
70,0.15,0.4,480,47,-369.77166
70,0.25,0.2,480,47,-369.77724
70,0.35,1,480,47,-369.32408
70,0.45,0.8,480,47,-369.23566
70,0.55,0.6,480,47,-369.87626
50,0.25,0.2,290,55,-370.1221
50,0.15,1,290,55,-370.31225
50,0.35,0.8,290,55,-370.01533
50,0.45,0.6,290,55,-369.91439
50,0.55,0.4,290,55,-369.9976
100,0.15,0.6,700,45,-369.43188
100,0.25,0.4,700,45,-369.3665
100,0.35,0.2,700,45,-369.3751
82,0.45,1,480,55,-369.67174
82,0.35,0.8,480,55,-369.47853
82,0.25,0.6,480,55,-370.1615
82,0.15,0.4,480,55,-369.9105
82,0.55,0.2,480,55,-369.81162
67,0.4,0.4,480,45,-368.7799
67,0.3,0.6,480,45,-369.0287
67,0.22,0.8,480,45,-368.9678
67,0.16,1,480,45,-369.2479
60,0.4,0.6,480,40,-368.9651
60,0.3,0.8,480,40,-369.00129
60,0.22,1,480,40,-369.0494
60,0.16,0.2,480,40,-368.858
55,0.4,0.6,480,36,-368.3421
55,0.3,0.8,480,36,-368.5264
55,0.22,1,480,36,-368.856
55,0.16,0.2,480,36,-367.8611
45,0.4,0.8,480,31,-367.63951
45,0.3,1,480,31,-368.024
45,0.22,0.2,480,31,-367.3855
45,0.16,0.4,480,31,-367.5061
35,0.5,0.8,290,38,-369.08838
35,0.4,1,290,38,-369.0515
35,0.3,0.2,290,38,-368.7555
35,0.22,0.4,290,38,-369.07152
35,0.16,0.6,290,38,-369.6539
27,0.3,0.4,290,30,-367.3214
27,0.22,0.6,290,30,-367.5326
27,0.16,0.8,290,30,-367.4774